I,N,1,Port Edgar Marina,"-3.409330 55.997354 -3.412774 55.997636 -3.417193 55.991103 -3.406296 55.992559 -3.409330 55.997354",30
I,N,2,Rosyth Dockyard exclusion zone,"-3.444950 56.020841",1000
