loco,DateTime,gps_latitude,gps_longitude,speed
PN8345,10/23/2018 13:58,-20.05057017,148.1534858,14.40377054,4.420142461
PN8345,10/23/2018 13:58,-20.0506065,148.1534688,14.47465856,4.413108448
PN8345,10/23/2018 13:58,-20.05064283,148.1534518,14.53373191,4.413108285
PN8345,10/23/2018 13:58,-20.0506795,148.1534347,14.54217096,4.454045334
PN8345,10/23/2018 13:58,-20.05071617,148.1534178,14.60968336,4.440142027
PN8345,10/23/2018 13:58,-20.050753,148.1534003,14.70420072,4.48509324
PN8345,10/23/2018 13:58,-20.05078983,148.1533823,14.73120568,4.50663161
PN8345,10/23/2018 13:58,-20.0508265,148.1533637,14.81390837,4.519399856
PN8345,10/23/2018 13:58,-20.050863,148.1533443,14.87804515,4.533277721
PN8345,10/23/2018 13:58,-20.05089933,148.1533242,14.93374288,4.556277684
PN8345,10/23/2018 13:58,-20.05093533,148.1533035,14.94386974,4.548000774
PN8345,10/23/2018 13:58,-20.05097167,148.1532827,14.96412346,4.588888009
PN8345,10/23/2018 13:58,-20.05100817,148.1532622,15.03332367,4.588861762
PN8345,10/23/2018 13:58,-20.05104467,148.1532415,15.0383871,4.597011079
PN8345,10/23/2018 13:58,-20.05108117,148.1532208,15.11433855,4.59701084
PN8345,10/23/2018 13:58,-20.051118,148.1532,15.12784103,4.637910316
PN8345,10/23/2018 13:58,-20.051155,148.1531792,15.19029,4.654284001
PN8345,10/23/2018 13:58,-20.051192,148.1531583,15.21223153,4.654283763
PN8345,10/23/2018 13:58,-20.05122917,148.1531373,15.25273897,4.678810168
PN8345,10/23/2018 13:58,-20.05126633,148.1531162,15.33206604,4.686997049
PN8345,10/23/2018 13:58,-20.0513035,148.1530952,15.29662203,4.678809683
PN8345,10/23/2018 13:58,-20.05134083,148.1530742,15.30674889,4.695187036
PN8345,10/23/2018 13:58,-20.05137833,148.1530528,15.49072018,4.727891009
PN8345,10/23/2018 13:58,-20.051416,148.1530315,15.50253485,4.744243709
PN8345,10/23/2018 13:58,-20.05145367,148.1530103,15.48565675,4.736091322
PN8345,10/23/2018 13:58,-20.0514915,148.152989,15.55485696,4.76061213
PN8345,10/23/2018 13:58,-20.05152917,148.1529678,15.59705221,4.736090826
PN8345,10/23/2018 13:58,-20.0515675,148.1529468,15.66118899,4.79378073
PN8345,10/23/2018 13:58,-20.051606,148.1529262,15.73207701,4.794488958
PN8345,10/23/2018 13:58,-20.05164483,148.1529053,15.74220387,4.835422715
PN8345,10/23/2018 13:58,-20.05168333,148.1528845,15.73882825,4.802352137
PN8345,10/23/2018 13:58,-20.051722,148.1528633,15.80634065,4.834703034
PN8345,10/23/2018 13:58,-20.051761,148.1528423,15.87554086,4.859811811
PN8345,10/23/2018 13:58,-20.0518,148.1528212,15.91267268,4.867694207
PN8345,10/23/2018 13:58,-20.05183917,148.1528,15.92955078,4.884211707
PN8345,10/23/2018 13:58,-20.05187817,148.1527788,15.93798983,4.867693706
PN8345,10/23/2018 13:58,-20.0519175,148.1527577,16.00550223,4.900743363
PN8345,10/23/2018 13:58,-20.0519565,148.1527362,15.93798983,4.883606481
PN8345,10/23/2018 13:58,-20.05199567,148.1527147,16.04769748,4.900070332
PN8345,10/23/2018 13:58,-20.05203517,148.1526932,16.17259542,4.933042313
PN8345,10/23/2018 13:58,-20.05207467,148.1526717,16.15909294,4.933042056
PN8345,10/23/2018 13:58,-20.0521145,148.1526502,16.22660534,4.96607176
PN8345,10/23/2018 13:58,-20.0521545,148.1526287,16.29074212,4.982607771
PN8345,10/23/2018 13:58,-20.05219467,148.1526068,16.33462518,5.014895593
PN8345,10/23/2018 13:58,-20.05223467,148.152585,16.3380008,4.998397161
PN8345,10/23/2018 13:58,-20.05227483,148.1525633,16.35825452,5.007002085
PN8345,10/23/2018 13:58,-20.05231483,148.1525415,16.39032291,4.998396637
PN8345,10/23/2018 13:58,-20.052355,148.1525197,16.44433283,5.014894531
PN8345,10/23/2018 13:58,-20.05239517,148.1524977,16.49834275,5.022835176
PN8345,10/23/2018 13:58,-20.05243567,148.1524758,16.55066486,5.047932688
PN8345,10/23/2018 13:58,-20.05247633,148.1524543,16.52872333,5.048889456
PN8345,10/23/2018 13:58,-20.05251733,148.1524335,16.55404048,5.05172671
PN8345,10/23/2018 13:59,-20.0525585,148.1524132,16.56754296,5.04625453
PN8345,10/23/2018 13:59,-20.05259983,148.1523935,16.51015742,5.034256723
PN8345,10/23/2018 13:59,-20.0526415,148.1523742,16.67049937,5.054105191
PN8345,10/23/2018 13:59,-20.0526835,148.152355,16.74138739,5.081219737
PN8345,10/23/2018 13:59,-20.05272567,148.1523357,16.77176797,5.105119551
PN8345,10/23/2018 13:59,-20.05276817,148.1523163,16.80383636,5.139182015
PN8345,10/23/2018 13:59,-20.05281033,148.1522965,16.87641219,5.126003102
PN8345,10/23/2018 13:59,-20.05285283,148.1522767,16.90004153,5.159927696
PN8345,10/23/2018 13:59,-20.0528955,148.1522568,16.89160248,5.176906026
PN8345,10/23/2018 13:59,-20.05293817,148.152237,16.94392459,5.176905805
PN8345,10/23/2018 13:59,-20.0529805,148.1522165,17.02156385,5.171402453
PN8345,10/23/2018 13:59,-20.053023,148.1521952,17.05700786,5.224803746
PN8345,10/23/2018 13:59,-20.05306517,148.1521733,17.08570063,5.213934233
PN8345,10/23/2018 13:59,-20.05310733,148.1521508,17.12958369,5.24476653
PN8345,10/23/2018 13:59,-20.0531495,148.1521277,17.28823783,5.276337711
PN8345,10/23/2018 13:59,-20.05319167,148.1521047,17.16165208,5.268375999
PN8345,10/23/2018 13:59,-20.05323383,148.1520818,17.17515456,5.260459858
PN8345,10/23/2018 13:59,-20.053276,148.1520588,17.17346675,5.268375412
PN8345,10/23/2018 13:59,-20.05331833,148.152036,17.25954506,5.276984224
PN8345,10/23/2018 13:59,-20.05336067,148.1520128,17.23760353,5.292811601
PN8345,10/23/2018 13:59,-20.053403,148.1519898,17.27642316,5.284874722
PN8345,10/23/2018 13:59,-20.05344533,148.151967,17.31355498,5.276983357
PN8345,10/23/2018 13:59,-20.05348783,148.151944,17.36587709,5.301387765
PN8345,10/23/2018 13:59,-20.0535305,148.151921,17.37937957,5.317914406
PN8345,10/23/2018 13:59,-20.05357317,148.151898,17.39794548,5.317914114
PN8345,10/23/2018 13:59,-20.053616,148.151875,17.47220912,5.334453937
PN8345,10/23/2018 13:59,-20.05365883,148.1518518,17.42832606,5.342316539
PN8345,10/23/2018 13:59,-20.05370183,148.1518288,17.50934094,5.35100653
PN8345,10/23/2018 13:59,-20.05374483,148.1518055,17.4688335,5.366728459
PN8345,10/23/2018 13:59,-20.05378767,148.1517827,17.40976015,5.326635158
PN8345,10/23/2018 13:59,-20.05383067,148.1517595,17.54140933,5.358844235
PN8345,10/23/2018 13:59,-20.0538735,148.1517363,17.50090189,5.34231504
PN8345,10/23/2018 13:59,-20.05391633,148.1517133,17.44182854,5.334451867
PN8345,10/23/2018 13:59,-20.05395917,148.1516902,17.51609218,5.342314443
PN8345,10/23/2018 13:59,-20.0540025,148.1516675,17.5363459,5.368704187
PN8345,10/23/2018 13:59,-20.054046,148.1516453,17.48908722,5.362587477
PN8345,10/23/2018 13:59,-20.0540895,148.151624,17.54478495,5.325583306
PN8345,10/23/2018 13:59,-20.05413333,148.1516032,17.58191677,5.337765921
PN8345,10/23/2018 13:59,-20.05417767,148.1515828,17.55828743,5.36770241
PN8345,10/23/2018 13:59,-20.05422183,148.1515627,17.58529239,5.343800862
PN8345,10/23/2018 13:59,-20.0542665,148.1515425,17.66461946,5.394940833
PN8345,10/23/2018 13:59,-20.054311,148.151522,17.66124384,5.391616968
PN8345,10/23/2018 13:59,-20.05435533,148.1515017,17.67474632,5.367701461
PN8345,10/23/2018 13:59,-20.05439967,148.1514812,17.66124384,5.374613273
PN8345,10/23/2018 13:59,-20.054444,148.1514605,17.66293165,5.381572517
PN8345,10/23/2018 13:59,-20.0544885,148.1514398,17.68318537,5.398553563
PN8345,10/23/2018 13:59,-20.05453317,148.1514193,17.68487318,5.408629029
PN8345,10/23/2018 13:59,-20.0545775,148.1513988,17.61904859,5.374612307
PN8345,10/23/2018 13:59,-20.05462183,148.1513785,17.67305851,5.367700031
PN8345,10/23/2018 13:59,-20.05466633,148.1513582,17.6544926,5.384724845
PN8345,10/23/2018 13:59,-20.05471083,148.1513375,17.66461946,5.398552344
PN8345,10/23/2018 13:59,-20.054755,148.1513172,17.60048268,5.350684291
PN8345,10/23/2018 13:59,-20.05479917,148.1512967,17.64099012,5.357618024
PN8345,10/23/2018 13:59,-20.05484367,148.1512762,17.6376145,5.391614082
PN8345,10/23/2018 13:59,-20.05488783,148.1512557,17.6038583,5.357617541
PN8345,10/23/2018 13:59,-20.054932,148.1512352,17.60217049,5.357617298
PN8345,10/23/2018 13:59,-20.05497633,148.1512145,17.58022896,5.381569579
PN8345,10/23/2018 13:59,-20.0550205,148.151194,17.57685334,5.357616819
PN8345,10/23/2018 13:59,-20.0550645,148.1511733,17.58022896,5.347637382
PN8345,10/23/2018 13:59,-20.05510883,148.1511528,17.64099012,5.374609418
PN8345,10/23/2018 14:00,-20.05515317,148.1511323,17.57685334,5.37460918
PN8345,10/23/2018 14:00,-20.0551965,148.1511123,17.06207129,5.251813942
PN8345,10/23/2018 14:00,-20.05524067,148.1510922,17.6038583,5.343795469
PN8345,10/23/2018 14:00,-20.05528517,148.1510717,17.53972152,5.391611689
PN8345,10/23/2018 14:00,-20.0553295,148.1510512,17.50427751,5.37460822
PN8345,10/23/2018 14:00,-20.05537383,148.1510308,17.48402379,5.367696005
PN8345,10/23/2018 14:00,-20.05541817,148.1510105,17.51102875,5.367695774
PN8345,10/23/2018 14:00,-20.0554625,148.1509902,17.50596532,5.367695531
PN8345,10/23/2018 14:00,-20.05550667,148.15097,17.44689197,5.343794063
PN8345,10/23/2018 14:00,-20.05555083,148.1509497,17.46714569,5.350680016
PN8345,10/23/2018 14:00,-20.05559517,148.1509293,17.45701883,5.367694824
PN8345,10/23/2018 14:00,-20.05563933,148.1509092,17.43676511,5.343793357
PN8345,10/23/2018 14:00,-20.05568333,148.150889,17.42157482,5.326766213
PN8345,10/23/2018 14:00,-20.0557275,148.1508687,17.43170168,5.350679069
PN8345,10/23/2018 14:00,-20.05577167,148.1508485,17.4013211,5.343792656
PN8345,10/23/2018 14:00,-20.05581583,148.1508282,17.42495044,5.350678597
PN8345,10/23/2018 14:00,-20.05585983,148.1508078,17.39963329,5.333673426
PN8345,10/23/2018 14:00,-20.055904,148.1507877,17.39625767,5.343791957
PN8345,10/23/2018 14:00,-20.05594783,148.1507673,17.37431614,5.316678225
